x_ba,temperature_K,T0_reference_K,curie_constant_reference_K,epsilon_r_reference_10kHz,chi_soft_reference_10kHz,p_fit_GPa,A1_u_zero,chi_soft_zero,epsilon_r_zero,A1_u_fit,chi_soft_fit,epsilon_r_fit,relative_error_fit
0.6,380.0,265.0,100000.0,869.5652173913044,68.66419557381535,-1.4071707845104355,0.005585338089799151,42.21417882714827,537.1845041966791,0.0034022155716564,69.30203450279085,877.5805377650763,0.009217618429837815
0.6,390.0,265.0,100000.0,800.0,63.12837146627116,-1.365767885912953,0.005851503428276137,40.29399688864669,513.0547863104697,0.003709803960692274,63.55604323870146,805.374281993659,0.006717852492073684
0.6,400.0,265.0,100000.0,740.7407407407408,58.412669448733524,-1.3243649873154704,0.006115593126154576,38.553980958036774,491.1891012515364,0.004018191962237069,58.678247119283185,744.078088175766,0.004505419037283964
0.6,410.0,265.0,100000.0,689.6551724137931,54.34740908878729,-1.2829620887179876,0.006377597731536119,36.97010549394962,471.28553516282705,0.004327069639195515,54.48963862220165,691.4424814429855,0.002591598092328784
0.6,420.0,265.0,100000.0,645.1612903225806,50.80669845270507,-1.241559190120505,0.006637514971971761,35.522399863276306,453.09312966729163,0.004636178279345485,50.856642416725734,645.7889046844145,0.0009728022608426201
0.6,430.0,265.0,100000.0,606.060606060606,47.6951648634207,-1.2001562915230224,0.006895348505110339,34.19413257475246,436.40163064477105,0.00494530113463835,47.677675133145705,605.8408236280252,-0.0003626410137583802
0.6,440.0,265.0,100000.0,571.4285714285714,44.939235112911696,-1.1587533929255398,0.007151106888658635,32.97118398646821,421.03360544208385,0.005254256077360176,44.87418531974636,570.6111316192683,-0.0014305196662803832
0.6,450.0,265.0,100000.0,540.5405405405405,42.481243713809064,-1.1173504943280572,0.00740480272727058,31.841558731136256,406.8383158282424,0.00556288972523356,42.3845290089702,539.325187715677,-0.002248402725997578
0.6,460.0,265.0,100000.0,512.8205128205128,40.27535399666568,-1.0759475957305744,0.007656451963070428,30.795002968752417,393.6869082495338,0.005871072703595078,40.159690202522434,511.3670387166459,-0.002834274502540479
0.6,470.0,265.0,100000.0,487.8048780487805,38.28467303241433,-1.0345446971330918,0.0079060732834584,29.822701166479103,381.468603453158,0.00617869579591837,38.16023133694655,486.2410975836532,-0.0032057499535109724
0.6,480.0,265.0,100000.0,465.1162790697674,36.4791716927445,-0.9931417985356092,0.008153687625195902,28.91703383439333,370.0876521048503,0.006485666794389664,36.3540817633158,463.5443526564423,-0.0033796417886490238
0.6,490.0,265.0,100000.0,444.44444444444446,34.83415936104532,-0.9517388999381264,0.008399317757920046,28.07138242990479,359.46088314549394,0.0067919079066093065,34.71490841379381,442.9458928451685,-0.003371741098370906
0.6,500.0,265.0,100000.0,425.531914893617,33.32914807885246,-0.9103360013406441,0.008642987933487492,27.279971087235506,349.51571490510406,0.007097353607416337,33.22089809453579,424.17160547169516,-0.003196727141516309
0.6,510.0,265.0,100000.0,408.16326530612247,31.946994860512078,-0.8689331027431613,0.008884723590106768,26.537737335510148,340.188530498437,0.007401948849504471,31.853835486670324,406.99259008822537,-0.0028681542838479013
0.6,520.0,265.0,100000.0,392.15686274509807,30.673245816159174,-0.8275302041456789,0.009124551102249322,25.840225813929752,331.42334221047213,0.0077056475651554835,30.598396687521817,391.2162808544792,-0.0023984838210782122
0.6,530.0,265.0,100000.0,377.35849056603774,29.49562877515366,-0.7861273055481961,0.009362497568948793,25.183500363710873,323.17068681113983,0.008008411405644959,29.441601959493177,376.67956957733446,-0.0017991406200636995
0.6,540.0,265.0,100000.0,363.6363636363636,28.403656609857634,-0.7447244069507133,0.009598590634398985,24.56407090514778,315.38670666538417,0.008310208675819598,28.37238752125682,363.2434246802326,-0.0010805821293603524
0.6,550.0,265.0,100000.0,350.87719298245617,27.388314070196422,-0.7033215083532309,0.009832858335760253,23.978832286780236,308.0323812891421,0.008611013429822099,27.38126735655727,350.7886413672533,-0.00025237210332806903
0.6,560.0,265.0,100000.0,338.9830508474576,26.44180831288512,-0.6619186097557481,0.010065328974287907,23.425012886828657,301.07288145592855,0.008910804700508866,26.46006380539341,339.21245613206446,0.0006767455895901886
0.6,570.0,265.0,100000.0,327.8688524590164,25.55736850687292,-0.6205157111582653,0.010296031005531588,22.900131206499864,294.4770237322293,0.009209565840657161,25.601691221096658,328.4258281125862,0.001698775743387948
0.6,580.0,265.0,100000.0,317.46031746031747,24.729083609178954,-0.579112812560783,0.01052499294668893,22.401959044261265,288.21680771178245,0.009507283957113997,24.799980940554228,318.3512396019482,0.0028064047461366926
0.6,590.0,265.0,100000.0,307.6923076923077,23.95177008980462,-0.5377099139633001,0.010752243297898539,21.928490120656587,282.26702174338436,0.009803949424076445,24.049538684260927,308.9209040846907,0.003992938275244828
0.6,600.0,265.0,100000.0,298.5074626865672,23.220863347706363,-0.4963070153658178,0.010977810475703186,21.477913237317125,276.60490563707776,0.01009955546254904,23.34562761768875,300.0752967425958,0.005252244087695868
